load_metric,hr_metric,correlation,n_weeks
total_combined_load,total_near_max_min,0.9372517878967379,107
total_combined_load,max_hr,-0.4007536408048625,106
total_distance_km,total_near_max_min,0.37412395134384285,107
total_simple_hr_load,total_near_max_min,0.3539063980617635,107
total_duration_min,total_near_max_min,0.33332621391225337,107
total_zone_weighted_load,total_near_max_min,0.325577926792964,107
total_simple_hr_load,total_active_zone_minutes,0.32307670109277853,107
total_distance_km,mean_hr_efficiency_proxy,-0.3117008591326093,106
total_simple_hr_load,max_hr,0.30635531863227555,106
total_distance_km,mean_pace_50_s,-0.3034490771950428,106
total_simple_hr_load,mean_avg_hr,0.2960897273160237,106
total_simple_hr_load,mean_hrr_intensity,0.29608972731602345,106
total_distance_km,total_active_zone_minutes,0.29082011451604434,107
total_distance_km,mean_avg_hr,0.2846035708367941,106
total_distance_km,mean_hrr_intensity,0.284603570836794,106
total_simple_hr_load,mean_hr_efficiency_proxy,-0.2713583708413292,106
total_zone_weighted_load,total_active_zone_minutes,0.25979940691273,107
total_simple_hr_load,mean_pace_50_s,-0.255775712217222,106
total_distance_km,max_hr,0.2553417422034219,106
total_zone_weighted_load,max_hr,0.24196678601510901,106
total_duration_min,total_active_zone_minutes,0.2213592476041393,107
total_duration_min,max_hr,0.21868556628806346,106
total_combined_load,mean_hr_efficiency_proxy,-0.20460411341267745,106
total_combined_load,mean_pace_50_s,-0.19663012164302476,106
total_combined_load,mean_active_zone_share,-0.19420155981759787,106
total_combined_load,mean_avg_hr,0.19174975145552287,106
total_combined_load,mean_hrr_intensity,0.1917497514555227,106
total_zone_weighted_load,mean_hr_efficiency_proxy,-0.19125761737269623,106
total_duration_min,mean_hr_efficiency_proxy,-0.19072409554788458,106
total_duration_min,mean_pace_50_s,-0.18461563005718334,106
total_zone_weighted_load,mean_pace_50_s,-0.1845559981154097,106
total_combined_load,mean_sample_zone_depth,-0.17064580265181176,106
total_combined_load,mean_active_zone_depth,0.13363258982171575,75
total_simple_hr_load,mean_active_zone_share,0.1130841107169416,106
total_zone_weighted_load,mean_avg_hr,0.11092878429632308,106
total_zone_weighted_load,mean_hrr_intensity,0.11092878429632289,106
total_simple_hr_load,mean_active_zone_depth,0.10586931331206066,75
total_duration_min,mean_avg_hr,0.09714043450227534,106
total_duration_min,mean_hrr_intensity,0.0971404345022752,106
total_simple_hr_load,mean_sample_zone_depth,0.09560322675248921,106
total_distance_km,mean_active_zone_share,0.08903657685245539,106
total_distance_km,mean_active_zone_depth,0.08271282740612028,75
total_zone_weighted_load,mean_active_zone_depth,0.0777085471881775,75
total_combined_load,total_active_zone_minutes,-0.07660825208082742,107
total_distance_km,mean_sample_zone_depth,0.07341177119918223,106
total_duration_min,mean_active_zone_depth,0.04990508686742188,75
total_zone_weighted_load,mean_active_zone_share,0.035394800459085926,106
total_zone_weighted_load,mean_sample_zone_depth,0.026297943081983917,106
total_duration_min,mean_sample_zone_depth,-0.01323923839483287,106
total_duration_min,mean_active_zone_share,-0.003469318971926597,106
